,Organisation Code,Name,Address,Postcode,Contact Telephone Number,Number of patients registered at the GP practice,loc,Point,Latitude,Longitude,Altitude
20,E83030,Penshurst Gardens Surgery,"39 Penshurst Gardens, Edgware, Middlesex, HA8 9TN",HA8 9TN,020 89583141,10065,HA8 9TN,"(51.61612895677052, -0.2728116472488108, 0.0)",51.61612895677053,-0.2728116472488108,0.0
21,E83031,The Village Surgery,"113 East Barnet Road, Barnet, Hertfordshire, EN4 8RF",EN4 8RF,020 84496443,2403,EN4 8RF,"(51.64855604414084, -0.1685558173288109, 0.0)",51.648556044140854,-0.1685558173288109,0.0
22,E83032,Oak Lodge Medical Centre,"Oak Lodge Medical Centre, 234 Burnt Oak Broadway, Edgware, Middlesex, HA8 0AP",HA8 0AP,020 89521202,5931,HA8 0AP,"(51.603679593188254, -0.27069924774956655, 0.0)",51.603679593188254,-0.2706992477495665,0.0
23,E83034,Colney Hatch Lane Surgery,"192 Colney Hatch Lane, Muswell Hill, London, N10 1ET",N10 1ET,020 88835555,5577,N10 1ET,"(51.60073065652502, -0.14755476702245637, 0.0)",51.60073065652502,-0.1475547670224563,0.0
24,E83035,Wentworth Medical Practice.,"Wentworth Medical Pract., 38 Wentworth Avenue, Finchley Central, London, N3 1YL",N3 1YL,020 83461242,6066,N3 1YL,"(51.60774537334018, -0.1879232237226305, 0.0)",51.60774537334018,-0.1879232237226305,0.0
25,E83037,Derwent Crescent Medical Centre,"Derwent Crescent Med Ctr, 20 Derwent Crescent, Whetstone, London, N20 0QQ",N20 0QQ,020 84460171,51704,N20 0QQ,"(51.62290848492367, -0.17528509340869947, 0.0)",51.62290848492367,-0.1752850934086994,0.0
26,E83038,Jai Medical Centre,"114 Edgwarebury Lane, Edgware, Middlesex, HA8 8NB",HA8 8NB,03000 337861,6052,HA8 8NB,"(51.622043393830715, -0.2775421496035462, 0.0)",51.62204339383072,-0.2775421496035462,0.0
27,E83039,Ravenscroft Medical Centre,"Ravenscroft Medical Ctr, 166-168 Golders Green Rd, Golders Green, London, NW11 8BB",NW11 8BB,020 84552477,6846,NW11 8BB,"(51.575177698544515, -0.20258180530214984, 0.0)",51.57517769854452,-0.2025818053021498,0.0
28,E83041,Wakemans Hill Surgery,"Wakemans Hill Surgery, 1 Wakemans Hill Avenue, Colindale, London, NW9 0TA",NW9 0TA,020 82052336,5933,NW9 0TA,"(51.58708756098796, -0.25420917750626465, 0.0)",51.58708756098796,-0.2542091775062646,0.0
29,E83044,Addington Medical Centre,"Addington Medical Centre, 46 Station Road, New Barnet, Hertfordshire, EN5 1QH",EN5 1QH,020 84414425,3669,EN5 1QH,"(51.64965777348448, -0.176841994300828, 0.0)",51.64965777348448,-0.176841994300828,0.0
30,E83045,Friern Barnet Medical Centre,"15/16 St Johns Villas, Friern Barnet Road, London, N11 3BU",N11 3BU,020 83681707,2124,N11 3BU,"(51.61327194920178, -0.155927083282148, 0.0)",51.61327194920178,-0.15592708328214802,0.0
31,E83046,Mulberry Medical Practice,"3 Sefton Avenue, Mill Hill, London, NW7 3QB",NW7 3QB,020 89591868,7262,NW7 3QB,"(51.61486119307309, -0.26003350601440567, 0.0)",51.61486119307309,-0.2600335060144056,0.0
32,E83049,Langstone Way Surgery,"28 Langstone Way, Mill Hill, London, NW7 1GR",NW7 1GR,020 83432401,5395,NW7 1GR,"(51.6069814786374, -0.21081470964012147, 0.0)",51.6069814786374,-0.2108147096401214,0.0
33,E83050,East Finchley Medical Centre,"East Finchley Med Ctr, 39 Baronsmere Road, East Finchley, London, N2 9QD",N2 9QD,020 88831458,5405,N2 9QD,"(51.58812141112641, -0.16287875061658064, 0.0)",51.588121411126394,-0.1628787506165806,0.0
34,E83053,Lane End Medical Group,"Lane End Medical Group, 2 Penshurst Gardens, Edgware, Middlesex, HA8 9GJ",HA8 9GJ,020 89584233,2294,HA8 9GJ,"(51.61528691577501, -0.274865788759847, 0.0)",51.615286915775,-0.2748657887598469,0.0
35,E83600,Adler Js-The Surgery,"682 Finchley Road, Golders Green, London, NW11 7NP",NW11 7NP,020 84559994,1710,NW11 7NP,"(51.5750741550061, -0.19596239914542113, 0.0)",51.575074155006114,-0.1959623991454211,0.0
36,E83613,East Barnet Health Centre,"East Barnet Health Centre, 149 East Barnet Road, New Barnet, Hertfordshire, EN4 8QZ",EN4 8QZ,020 84407417,1946,EN4 8QZ,"(51.6463392560728, -0.16642358102032917, 0.0)",51.6463392560728,-0.1664235810203291,0.0
37,E83621,Brunswick Park Medical Practice,"Brunswick Park Health Ctr, Brunswick Park Road, New Southgate, London, N11 1EY",N11 1EY,020 83681568,3901,N11 1EY,"(51.629244566918196, -0.14921093788741366, 0.0)",51.6292445669182,-0.1492109378874136,0.0
38,E83622,Temple Fortune Medical Group,"Temple Fortune Health Ctr, 23 Temple Fortune Lane, London, NW11 7TE",NW11 7TE,020 84584431,3555,NW11 7TE,"(51.58104346002451, -0.1977708386034647, 0.0)",51.58104346002451,-0.1977708386034647,0.0
39,E83637,Colindale Medical Centre Lp,"61 Colindeep Lane, Colindale, London, NW9 6DJ",NW9 6DJ,020 82056798,17273,NW9 6DJ,"(51.591298823173766, -0.2495724057776714, 0.0)",51.59129882317377,-0.2495724057776714,0.0
40,E83638,The Mountfield Surgery,"The Mountfield Surgery, 55 Mountfield Road, Finchley, London, N3 3NR",N3 3NR,020 83464271,14022,N3 3NR,"(51.59500137286886, -0.1942200410000751, 0.0)",51.59500137286887,-0.1942200410000751,0.0
41,E83639,Rosemary Surgery,"Rosemary Surgery, 2 Rosemary Avenue, Finchley, London, N3 2QN",N3 2QN,020 83461997,9287,N3 2QN,"(51.59689631772413, -0.18415348896763636, 0.0)",51.59689631772413,-0.1841534889676363,0.0
42,E83649,The Hodford Road Practice,"73 Hodford Road, London, NW11 8NH",NW11 8NH,020 89055234,4505,NW11 8NH,"(51.56903786826474, -0.19931814982024382, 0.0)",51.56903786826474,-0.1993181498202438,0.0
43,E83650,Gloucester Road Surgery,"1B Gloucester Road, New Barnet, Hertfordshire, EN5 1RS",EN5 1RS,020 84497677,7907,EN5 1RS,"(51.64727216065245, -0.1830519370238208, 0.0)",51.647272160652456,-0.1830519370238208,0.0
44,E83653,The Phoenix Practice,"7 Brampton Grove, Hendon, London, NW4 4AE",NW4 4AE,020 82029030,7871,NW4 4AE,"(51.58731120555508, -0.22356890105510796, 0.0)",51.587311205555075,-0.2235689010551079,0.0
45,E83657,The Hillview Surgery,"Hillview Surgery, 114 Finchley Lane, Hendon, London, NW4 1DG",NW4 1DG,020 82030546,6502,NW4 1DG,"(51.58986850493655, -0.21490851195901545, 0.0)",51.58986850493654,-0.2149085119590154,0.0
46,E83666,Homeless Action In Barnet,"36B Woodhouse Road, North Finchley, London, N12 0RG",N12 0RG,020 84468400,6418,N12 0RG,"(51.61215005550681, -0.17447443746953875, 0.0)",51.61215005550681,-0.1744744374695387,0.0
47,E83668,Dr Sp Talpahewa,"Medical Centre, 156 Deans Lane, Edgware, Middlesex, HA8 9NT",HA8 9NT,020 89063337,3004,HA8 9NT,"(51.61611511204247, -0.2603033290242352, 0.0)",51.616115112042465,-0.2603033290242352,0.0
48,E84002,Forty Willows Surgery,"Forty Willows Surgery, 46 Forty Lane, Wembley Park, Middlesex, HA9 9HA",HA9 9HA,020 33763100,6457,HA9 9HA,"(51.565796620679684, -0.27143020095161563, 0.0)",51.565796620679684,-0.2714302009516156,0.0
49,E84003,Premier Medical Centre,"Wembley Centre For H&C, 116 Chaplin Road, Wembley, Middlesex, HA0 4UZ",HA0 4UZ,020 87956150,19763,HA0 4UZ,"(51.54971272307694, -0.3067853393354926, 0.0)",51.54971272307694,-0.3067853393354926,0.0
50,E84004,The Circle Practice,"The Circle Practice, Belmont Health Centre, 516 Kenton Lane, Harrow, Middlesex, HA3 7LT",HA3 7LT,020 84271213,2789,"London Borough of Harrow, London, Harrow, Greater London, England, HA3 7LT, United Kingdom","(51.60111317242273, -0.3206132909914962, 0.0)",51.601113172422714,-0.3206132909914962,0.0
51,E84005,Kings Road Surgery,"204 Kings Road, South Harrow, Middlesex, HA2 9JH",HA2 9JH,020 84221667,6856,"London Borough of Harrow, London, Harrow, Greater London, England, HA2 9JH, United Kingdom","(51.56760302298505, -0.3764760006814352, 0.0)",51.56760302298505,-0.3764760006814352,0.0
52,E84006,The Law Medical Group Practice,"The Law Medical Grp Prac, 9-11 Wrottesley Road, Willesden, London, NW10 5UY",NW10 5UY,020 38188441,8073,NW10 5UY,"(51.533870063176956, -0.23431561451215904, 0.0)",51.533870063176956,-0.23431561451215904,0.0
53,E84007,Uxendon Crescent Surgery,"1 Uxendon Crescent, Wembley, Middlesex, HA9 9TW",HA9 9TW,020 89043883,10536,HA9 9TW,"(51.57206281697861, -0.2928089648143144, 0.0)",51.57206281697861,-0.2928089648143144,0.0
54,E84008,Simpson House Medical Centre,"Simpson House Medical Ctr, 255/255A Eastcote Lane, South Harrow, Middlesex, HA2 8RS",HA2 8RS,020 88643466,5297,"London Borough of Harrow, London, Harrow, Greater London, England, HA2 8RS, United Kingdom","(51.5616571228592, -0.37243181079010806, 0.0)",51.5616571228592,-0.372431810790108,0.0
55,E84009,Enderley Road Medical Centre,"Enderley Road Medical Ctr, 41-45 Enderley Road, Harrow Weald, Middlesex, HA3 5HF",HA3 5HF,020 88633333,4818,"London Borough of Harrow, London, Harrow, Greater London, England, HA3 5HF, United Kingdom","(51.60187214796514, -0.3404688416032806, 0.0)",51.601872147965146,-0.3404688416032806,0.0
56,E84011,St Andrews Medical Centre,"Greenhill Park Med.Ctr., Greenhill Park, Harlesden, London, NW10 9AR",NW10 9AR,020 84597755,3814,NW10 9AR,"(51.53840214515032, -0.2535348569130938, 0.0)",51.53840214515032,-0.2535348569130938,0.0
57,E84012,Mapesbury Medical Group,"The Windmill Med.Practice, 65 Shoot-Up-Hill, London, NW2 3PS",NW2 3PS,020 84527646,5903,NW2 3PS,"(51.551496285631444, -0.20947305539291997, 0.0)",51.55149628563144,-0.2094730553929199,0.0
58,E84013,Church End Medical Centre,"Church End Medical Centre, 66 Mayo Road, Church End Estate, Willesden, London, NW10 9HP",NW10 9HP,020 89306262,4064,NW10 9HP,"(51.54797025398046, -0.25340316876818475, 0.0)",51.547970253980466,-0.2534031687681847,0.0
59,E84014,Bacon Lane Surgery,"Bacon Lane Surgery, 11 Bacon Lane, Edgware, Middlesex, HA8 5AT",HA8 5AT,020 89528073,13446,"London Borough of Harrow, London, Harrow, Greater London, England, HA8 5AT, United Kingdom","(51.60507799193604, -0.2759025965434919, 0.0)",51.605077991936035,-0.2759025965434919,0.0
60,E84015,Willow Tree Family Doctors,"343B Stag Lane, London, NW9 9AD",NW9 9AD,020 82046464,6312,NW9 9AD,"(51.58933709407008, -0.26522415443000324, 0.0)",51.58933709407008,-0.2652241544300032,0.0
61,E84017,Sudbury & Alperton Medical Centre,"267 Ealing Road, Wembley, Middlesex, HA0 1EZ",HA0 1EZ,020 89973486,11568,HA0 1EZ,"(51.53691614694889, -0.298046366008399, 0.0)",51.53691614694889,-0.2980463660083989,0.0
62,E84018,Streatfield Health Centre,"1 Streatfield Road, Kenton, Harrow, Middlesex, HA3 9BP",HA3 9BP,0844 4127378,5528,"London Borough of Harrow, London, Harrow, Greater London, England, HA3 9BP, United Kingdom","(51.59381194140966, -0.3081200731143279, 0.0)",51.593811941409655,-0.3081200731143279,0.0
63,E84020,Jai Medical Centre (Brent),"82 Stag Lane, Edgware, Middlesex, HA8 5LP",HA8 5LP,0300 0337863,7613,HA8 5LP,"(51.59816766955307, -0.2707209199669252, 0.0)",51.59816766955307,-0.2707209199669252,0.0
64,E84021,The Willesden Medical Centre,"The Medical Centre, 144-150 High Road, Willesden, London, NW10 2PT",NW10 2PT,020 84595550,10313,NW10 2PT,"(51.54753179838683, -0.23387330602532047, 0.0)",51.54753179838683,-0.2338733060253204,0.0
65,E84022,Roxbourne Medical Centre,"Roxbourne Medical Centre, 37 Rayners Lane, South Harrow, Middlesex, HA2 0UE",HA2 0UE,020 84225602,5148,"London Borough of Harrow, London, Harrow, Greater London, England, HA2 0UE, United Kingdom","(51.56737277304886, -0.3631376010310499, 0.0)",51.56737277304886,-0.3631376010310499,0.0
66,E84024,The Pinn Medical Centre,"Pinn Medical Centre, 37 Love Lane, Pinner, Harrow, Middlesex, HA5 3EE",HA5 3EE,020 88665766,9039,"London Borough of Harrow, London, Harrow, Greater London, England, HA5 3EE, United Kingdom","(51.59507290144575, -0.38225350125830393, 0.0)",51.59507290144576,-0.3822535012583039,0.0
67,E84025,The Lonsdale Medical Centre,"The Lonsdale Medical Ctr., 24 Lonsdale Road, London, NW6 6RR",NW6 6RR,020 73288331,12450,NW6 6RR,"(51.53689727153655, -0.20448014959208458, 0.0)",51.53689727153655,-0.2044801495920845,0.0
68,E84028,The Stonebridge Practice,"Hillside Primary Care Ctr, 150 Hilltop Avenue, Harlesden, London, NW10 8RY",NW10 8RY,020 31887310,4414,NW10 8RY,"(51.54247225745874, -0.26360357101414056, 0.0)",51.54247225745874,-0.2636035710141405,0.0
69,E84030,Preston Hill Surgery,"Hillside Primary Cc, 150 Hilltop Avenue, Harlesden, London, NW10 8RY",NW10 8RY,020 31887270,10884,NW10 8RY,"(51.54247225745874, -0.26360357101414056, 0.0)",51.54247225745874,-0.2636035710141405,0.0
70,E84031,Brentfield Medical Centre,"Brentfield Medical Centre, 10 Kingfisher Way, Brentfield Road, London, NW10 8TF",NW10 8TF,020 88302396,4955,NW10 8TF,"(51.55058762728023, -0.26025120969761173, 0.0)",51.550587627280215,-0.2602512096976117,0.0
71,E84032,Ellis Practice,"Chalkhill Pcc-Welford Ctr, 113 Chalkhill Road, Wembley, Middlesex, HA9 9FX",HA9 9FX,020 87367198,9209,HA9 9FX,"(51.5638413, -0.2765068, 0.0)",51.56384129999999,-0.2765068,0.0
72,E84033,Chalkhill Family Practice,"Chalkhill Pcc-Welford Ctr, 113 Chalkhill Road, Wembley, Middlesex, HA9 9FX",HA9 9FX,020 87367033,8763,HA9 9FX,"(51.5638413, -0.2765068, 0.0)",51.56384129999999,-0.2765068,0.0
73,E84036,Gladstone Medical Centre,"Gladstone Medical Centre, 5 Dollis Hill Lane, London, NW2 6JH",NW2 6JH,020 81029108,13794,NW2 6JH,"(51.55873111974064, -0.24612015598842854, 0.0)",51.55873111974064,-0.2461201559884285,0.0
74,E84039,Honeypot Medical Centre,"Honeypot Medical Centre, 404 Honeypot Lane, Stanmore, Middlesex, HA7 1JP",HA7 1JP,020 82041363,5021,"London Borough of Harrow, London, Harrow, Greater London, England, HA7 1JP, United Kingdom","(51.596987572642874, -0.29454561003922086, 0.0)",51.59698757264288,-0.2945456100392208,0.0
75,E84040,The Pinner Road Surgery,"196 Pinner Road, West Harrow, Middlesex, HA1 4JS",HA1 4JS,020 84270130,14904,"London Borough of Harrow, London, Harrow, Greater London, England, HA1 4JS, United Kingdom","(51.58279438140462, -0.3528552318791035, 0.0)",51.58279438140462,-0.3528552318791035,0.0
76,E84042,Kilburn Park Medical Centre,"Kilburn Park Medical Ctr., 12 Cambridge Gardens, Kilburn, London, NW6 5AY",NW6 5AY,020 76242414,9408,NW6 5AY,"(51.53465088334364, -0.19348905341532108, 0.0)",51.53465088334364,-0.193489053415321,0.0
77,E84044,The Northwick Surgery,"The Northwick Surgery, 36 Northwick Park Road, Harrow, Middlesex, HA1 2NU",HA1 2NU,020 85151300,8313,"London Borough of Harrow, London, Harrow, Greater London, England, HA1 2NU, United Kingdom","(51.581780448880366, -0.32757575891315727, 0.0)",51.581780448880366,-0.3275757589131572,0.0
78,E84048,The Fryent Way Surgery,"22 Fryent Way, Kingsbury, London, NW9 9SB",NW9 9SB,020 82069910,5290,NW9 9SB,"(51.582962522289115, -0.28056475169077544, 0.0)",51.582962522289115,-0.2805647516907754,0.0
79,E84049,Brampton Health Centre,"5 Brampton Road, Kingsbury, London, NW9 9BY",NW9 9BY,020 82046219,7889,NW9 9BY,"(51.58609916946236, -0.27738615522565757, 0.0)",51.58609916946236,-0.2773861552256575,0.0
80,E84051,Stanley Corner Medical Centre,"The Stanley Corner Med Ct, 1-3 Stanley Avenue, Wembley, Middlesex, HA0 4JF",HA0 4JF,020 89023887,6023,HA0 4JF,"(51.54423454703765, -0.29655896440122004, 0.0)",51.54423454703765,-0.29655896440122,0.0
81,E84053,Hatch End Medical Centre,"Hatch End Health Centre, 577 Uxbridge Road, Hatch End,Pinner, Middlesex, HA5 4RD",HA5 4RD,020 84280272,12621,"London Borough of Harrow, London, Harrow, Greater London, England, HA5 4RD, United Kingdom","(51.606241599274966, -0.377076573635229, 0.0)",51.606241599274966,-0.377076573635229,0.0
82,E84057,The Stanmore Medical Centre,"The Stanmore Medical Ctre, 85 Crowshott Avenue, Stanmore, Middlesex, HA7 1HS",HA7 1HS,020 89525043,7514,"London Borough of Harrow, London, Harrow, Greater London, England, HA7 1HS, United Kingdom","(51.60154003411369, -0.3040207837742592, 0.0)",51.60154003411368,-0.3040207837742592,0.0
83,E84058,GP Direct,"GP Direct, 3-7 Welbeck Road, Harrow, Middlesex, HA2 0RQ",HA2 0RQ,020 85159300,6317,"London Borough of Harrow, London, Harrow, Greater London, England, HA2 0RQ, United Kingdom","(51.57528460446906, -0.35853844800944346, 0.0)",51.57528460446906,-0.3585384480094434,0.0
84,E84059,The Allendale Road Surgery,"35 Allendale Road, Greenford, Middlesex, UB6 0RA",UB6 0RA,020 89028146,7166,"London Borough of Ealing, London, Ealing, Greater London, England, UB6 0RA, United Kingdom","(51.551186099349955, -0.31982737965306024, 0.0)",51.551186099349955,-0.3198273796530602,0.0
85,E84061,Elliott Hall Medical Ctr.,"Elliott Hall Medical Ctr., 165/167 Uxbridge Road, Hatch End, Pinner,Middlesex, HA5 4EA",HA5 4EA,020 84284019,6283,"London Borough of Harrow, London, Harrow, Greater London, England, HA5 4EA, United Kingdom","(51.60850046018415, -0.363646969929925, 0.0)",51.608500460184146,-0.3636469699299249,0.0
86,E84062,The Shaftesbury Medical Centre,"The Shaftesbury Med Ctre, 39 Shaftesbury Parade, South Harrow, Middlesex, HA2 0AH",HA2 0AH,020 84235500,5067,"London Borough of Harrow, London, Harrow, Greater London, England, HA2 0AH, United Kingdom","(51.57179586666667, -0.3540216666666667, 0.0)",51.57179586666667,-0.3540216666666667,0.0
87,E84063,Lancelot Medical Centre,"19 Lancelot Road, Wembley, Middlesex, HA0 2AL",HA0 2AL,020 89030609,10031,HA0 2AL,"(51.55290749752931, -0.2994978464198485, 0.0)",51.55290749752932,-0.2994978464198485,0.0
88,E84066,Hazeldene Medical Centre,"Hazeldene Medical Centre, 1B Wyld Way, Wembley, Middlesex, HA9 6PW",HA9 6PW,020 89024792,3879,HA9 6PW,"(51.54759193494232, -0.27539390010237697, 0.0)",51.54759193494233,-0.2753939001023769,0.0
89,E84067,Church Lane Surgery,"The Church Lane Surgery, 282 Church Lane, Kingsbury, London, NW9 8LU",NW9 8LU,020 82000077,8609,NW9 8LU,"(51.57493117227694, -0.2621648526265318, 0.0)",51.574931172276926,-0.2621648526265318,0.0
90,E84068,The Ridgeway Surgery,"The Ridgeway Surgery, 71 Imperial Drive, North Harrow, Middlesex, HA2 7DU",HA2 7DU,020 84272470,2263,"London Borough of Harrow, London, Harrow, Greater London, England, HA2 7DU, United Kingdom","(51.58100531500442, -0.36510145084593776, 0.0)",51.581005315004425,-0.3651014508459377,0.0
91,E84069,Belmont Health Centre,"Belmont Health Centre, 516 Kenton Lane, Kenton, Harrow, Middlesex, HA3 7LT",HA3 7LT,020 88636863,4618,"London Borough of Harrow, London, Harrow, Greater London, England, HA3 7LT, United Kingdom","(51.60111317242273, -0.3206132909914962, 0.0)",51.601113172422714,-0.3206132909914962,0.0
92,E84070,Pinner View Medical Centre,"Pinner View Medical Ctr., 33 Pinner View, Harrow, Middlesex, HA1 4QG",HA1 4QG,020 84271246,6899,"London Borough of Harrow, London, Harrow, Greater London, England, HA1 4QG, United Kingdom","(51.585869039995885, -0.3502468525046582, 0.0)",51.58586903999589,-0.3502468525046582,0.0
93,E84074,Freuchen Medical Centre,"Freuchen Medical Centre, 190 High Street, Harlesden, London, NW10 4ST",NW10 4ST,020 89655174,4052,NW10 4ST,"(51.534530982722806, -0.24299886602804996, 0.0)",51.53453098272281,-0.2429988660280499,0.0
94,E84075,Mollison Way Surgery,"45C-46 South Parade, Mollison Way, Edgware, Harrow, Middlesex, HA8 5QL",HA8 5QL,020 87324387,2286,"London Borough of Harrow, London, Harrow, Greater London, England, HA8 5QL, United Kingdom","(51.59763661484399, -0.27863895706100844, 0.0)",51.597636614843985,-0.2786389570610084,0.0
95,E84076,Oxgate Gardens Surgery,"81 Oxgate Gardens, London, NW2 6EA",NW2 6EA,020 84327337,4035,NW2 6EA,"(51.564480595708964, -0.2277917126722951, 0.0)",51.564480595708964,-0.2277917126722951,0.0
96,E84078,Kingsbury Health And Wellbeing,"245 Stag Lane, Kingsbury, London, NW9 0EF",NW9 0EF,020 82040777,2730,NW9 0EF,"(51.59173323358778, -0.2655082258282455, 0.0)",51.59173323358778,-0.2655082258282455,0.0
97,E84080,Staverton Surgery,"Staverton Medical Centre, 51 Staverton Road, London, NW2 5HA",NW2 5HA,020 84591359,26,NW2 5HA,"(51.54418234276884, -0.225840339531533, 0.0)",51.54418234276884,-0.225840339531533,0.0
98,E84083,Lanfranc Medical Centre,"Lanfranc Medical Centre, Lanfranc Court, Greenford Road,Harrow, Middlesex, HA1 3QE",HA1 3QE,020 84221813,11827,"London Borough of Harrow, London, Harrow, Greater London, England, HA1 3QE, United Kingdom","(51.561585554341406, -0.3327458169671346, 0.0)",51.5615855543414,-0.3327458169671346,0.0
99,E84086,Walm Lane Surgery,"Walm Lane Surgery, 114 Walm Lane, Willesden Green, London, NW2 4RT",NW2 4RT,020 84520366,10460,NW2 4RT,"(51.5500454, -0.2196844, 0.0)",51.550045399999995,-0.2196844,0.0
100,E84601,Kenton Bridge Medical Centre Dr Golden,"The Kenton Bridge Med Ctr, 155-175 Kenton Road, Kenton, Harrow, Middlesex, HA3 0YX",HA3 0YX,020 89076989,12902,HA3 0YX,"(51.5821347502166, -0.3165066794113948, 0.0)",51.582134750216596,-0.3165066794113948,0.0
