,Organisation Code,Name,Postcode,Full Address,Number of patients registered at GP practices in London,loc,Point,Latitude,Longitude,Altitude
12,E83018,Watling Medical Centre,HA8 0NR,"Watling Medical Centre, 108 Watling Ave,Burnt Oak, Edgware, Middlesex",11992,"Edgware, Barnet, GB, HA8 0NR","(51.603302, -0.261938, 0.0)",51.603302,-0.261938,0.0
13,E83020,St. Georges Medical Centre,NW4 4QR,"St.Georges Medical Centre, 7 Sunningfields Road, Hendon, London",9928,"London, Westminster, GB, NW4 4QR","(51.592731, -0.226147, 0.0)",51.592731,-0.226147,0.0
14,E83021,Torrington Park Group Practice,N12 9SS,"Torrington Park Hlth Ctr., 16 Torrington Park, North Finchley, London",4952,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
15,E83024,St Andrews Medical Practice.,N20 9EX,"St Andrews Medical Pract., 50 Oakleigh Road North, Whetstone, London",8929,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
16,E83025,Pennine Drive Practice,NW2 1PA,"8 Pennine Drive, Hendon, London",3428,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
17,E83026,Supreme Medical Centre,N3 2JX,"Ground Floor, Supreme House, 300 Regents Park Road, Finchley, London",18897,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
18,E83027,The Practice At 188,NW11 9AY,"188 Golders Green Road, Golders Green, London",2687,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
19,E83028,Parkview Surgery,HA8 0RW,"36 Cressingham Road, Edgware, Middlesex",9670,"Edgware, Barnet, GB, HA8 0RW","(51.606976, -0.257451, 0.0)",51.606976,-0.257451,0.0
20,E83030,Penshurst Gardens Surgery,HA8 9TN,"39 Penshurst Gardens, Edgware, Middlesex",10045,"Edgware, Barnet, GB, HA8 9TN","(51.616131, -0.272788, 0.0)",51.616131,-0.272788,0.0
21,E83031,The Village Surgery,EN4 8RF,"113 East Barnet Road, Barnet, Hertfordshire",2412,"Barnet, Hertfordshire, GB, EN4 8RF","(51.64827, -0.168358, 0.0)",51.64827,-0.168358,0.0
22,E83032,Oak Lodge Medical Centre,HA8 0AP,"Oak Lodge Medical Centre, 234 Burnt Oak Broadway, Edgware, Middlesex",5925,"Edgware, Barnet, GB, HA8 0AP","(51.603673, -0.27069, 0.0)",51.603673,-0.27069,0.0
23,E83034,Colney Hatch Lane Surgery,N10 1ET,"192 Colney Hatch Lane, Muswell Hill, London",5558,"London, Westminster, GB, N10 1ET","(51.600741, -0.147471, 0.0)",51.600741,-0.147471,0.0
24,E83035,Wentworth Medical Practice.,N3 1YL,"Wentworth Medical Pract., 38 Wentworth Avenue, Finchley Central, London",6059,"London, Westminster, GB, N3 1YL","(51.607731, -0.187942, 0.0)",51.607731,-0.187942,0.0
25,E83037,Derwent Crescent Medical Centre,N20 0QQ,"Derwent Crescent Med Ctr, 20 Derwent Crescent, Whetstone, London",51575,"London, Westminster, GB, N20 0QQ","(51.622911, -0.17526, 0.0)",51.622911,-0.17526,0.0
26,E83038,Jai Medical Centre,HA8 8NB,"114 Edgwarebury Lane, Edgware, Middlesex",6042,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
27,E83039,Ravenscroft Medical Centre,NW11 8BB,"Ravenscroft Medical Ctr, 166-168 Golders Green Rd, Golders Green, London",6795,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
28,E83041,Wakemans Hill Surgery,NW9 0TA,"Wakemans Hill Surgery, 1 Wakemans Hill Avenue, Colindale, London",5912,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
29,E83044,Addington Medical Centre,EN5 1QH,"Addington Medical Centre, 46 Station Road, New Barnet, Hertfordshire",3683,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
30,E83045,Friern Barnet Medical Centre,N11 3BU,"15/16 St Johns Villas, Friern Barnet Road, London",2114,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
31,E83046,Mulberry Medical Practice,NW7 3QB,"3 Sefton Avenue, Mill Hill, London",7266,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
32,E83049,Langstone Way Surgery,NW7 1GR,"28 Langstone Way, Mill Hill, London",5395,"London, Westminster, GB, NW7 1GR","(51.606973, -0.210616, 0.0)",51.606973,-0.210616,0.0
33,E83050,East Finchley Medical Centre,N2 9QD,"East Finchley Med Ctr, 39 Baronsmere Road, East Finchley, London",5387,"London, Westminster, GB, N2 9QD","(51.588124, -0.162853, 0.0)",51.588124,-0.162853,0.0
34,E83053,Lane End Medical Group,HA8 9GJ,"Lane End Medical Group, 2 Penshurst Gardens, Edgware, Middlesex",2291,"Edgware, Barnet, GB, HA8 9GJ","(51.615298, -0.274828, 0.0)",51.615298,-0.274828,0.0
35,E83600,Adler Js-The Surgery,NW11 7NP,"682 Finchley Road, Golders Green, London",1704,"London, Westminster, GB, NW11 7NP","(51.575086, -0.195937, 0.0)",51.575086,-0.195937,0.0
36,E83613,East Barnet Health Centre,EN4 8QZ,"East Barnet Health Centre, 149 East Barnet Road, New Barnet, Hertfordshire",1952,"Barnet, Hertfordshire, GB, EN4 8QZ","(51.64657, -0.166562, 0.0)",51.64657,-0.166562,0.0
37,E83621,Brunswick Park Medical Practice,N11 1EY,"Brunswick Park Health Ctr, Brunswick Park Road, New Southgate, London",3858,"London, Westminster, GB, N11 1EY","(51.629509, -0.149261, 0.0)",51.629509,-0.149261,0.0
38,E83622,Temple Fortune Medical Group,NW11 7TE,"Temple Fortune Health Ctr, 23 Temple Fortune Lane, London",3520,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
39,E83637,Colindale Medical Centre Lp,NW9 6DJ,"61 Colindeep Lane, Colindale, London",17327,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
40,E83638,The Mountfield Surgery,N3 3NR,"The Mountfield Surgery, 55 Mountfield Road, Finchley, London",13946,"London, Westminster, GB, N3 3NR","(51.595004, -0.194194, 0.0)",51.595004,-0.194194,0.0
41,E83639,Rosemary Surgery,N3 2QN,"Rosemary Surgery, 2 Rosemary Avenue, Finchley, London",9308,"London, Westminster, GB, N3 2QN","(51.596899, -0.184128, 0.0)",51.596899,-0.184128,0.0
42,E83649,The Hodford Road Practice,NW11 8NH,"73 Hodford Road, London",4506,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
43,E83650,Gloucester Road Surgery,EN5 1RS,"1B Gloucester Road, New Barnet, Hertfordshire",7897,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
44,E83653,The Phoenix Practice,NW4 4AE,"7 Brampton Grove, Hendon, London",7867,"London, Westminster, GB, NW4 4AE","(51.587315, -0.223543, 0.0)",51.587315,-0.223543,0.0
45,E83657,The Hillview Surgery,NW4 1DG,"Hillview Surgery, 114 Finchley Lane, Hendon, London",6472,"London, Westminster, GB, NW4 1DG","(51.589872, -0.214883, 0.0)",51.589872,-0.214883,0.0
46,E83666,Homeless Action In Barnet,N12 0RG,"36B Woodhouse Road, North Finchley, London",6428,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
47,E83668,Dr Sp Talpahewa,HA8 9NT,"Medical Centre, 156 Deans Lane, Edgware, Middlesex",3010,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
48,E84002,Forty Willows Surgery,HA9 9HA,"Forty Willows Surgery, 46 Forty Lane, Wembley Park, Middlesex",6462,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
49,E84003,Premier Medical Centre,HA0 4UZ,"Wembley Centre For H&C, 116 Chaplin Road, Wembley, Middlesex",19875,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
50,E84004,The Circle Practice,HA3 7LT,"The Circle Practice, Belmont Health Centre, 516 Kenton Lane, Harrow, Middlesex",2790,"Harrow, Harrow, GB, HA3 7LT","(51.601124, -0.320575, 0.0)",51.601124,-0.320575,0.0
51,E84005,Kings Road Surgery,HA2 9JH,"204 Kings Road, South Harrow, Middlesex",6789,"Harrow, Harrow, GB, HA2 9JH","(51.567604, -0.376455, 0.0)",51.567604,-0.376455,0.0
52,E84006,The Law Medical Group Practice,NW10 5UY,"The Law Medical Grp Prac, 9-11 Wrottesley Road, Willesden, London",8071,"London, Westminster, GB, NW10 5UY","(51.53388, -0.234262, 0.0)",51.53388,-0.234262,0.0
53,E84007,Uxendon Crescent Surgery,HA9 9TW,"1 Uxendon Crescent, Wembley, Middlesex",10536,"Wembley, Brent, GB, HA9 9TW","(51.572064, -0.292743, 0.0)",51.572064,-0.292743,0.0
54,E84008,Simpson House Medical Centre,HA2 8RS,"Simpson House Medical Ctr, 255/255A Eastcote Lane, South Harrow, Middlesex",5273,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
55,E84009,Enderley Road Medical Centre,HA3 5HF,"Enderley Road Medical Ctr, 41-45 Enderley Road, Harrow Weald, Middlesex",4862,"Harrow, Harrow, GB, HA3 5HF","(51.601875, -0.340446, 0.0)",51.601875,-0.340446,0.0
56,E84011,St Andrews Medical Centre,NW10 9AR,"Greenhill Park Med.Ctr., Greenhill Park, Harlesden, London",3718,"London, Westminster, GB, NW10 9AR","(51.538431, -0.253524, 0.0)",51.538431,-0.253524,0.0
57,E84012,Mapesbury Medical Group,NW2 3PS,"The Windmill Med.Practice, 65 Shoot-Up-Hill, London",5884,"London, Westminster, GB, NW2 3PS","(51.551499, -0.209448, 0.0)",51.551499,-0.209448,0.0
58,E84013,Church End Medical Centre,NW10 9HP,"Church End Medical Centre, 66 Mayo Road, Church End Estate, Willesden, London",4074,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
59,E84014,Bacon Lane Surgery,HA8 5AT,"Bacon Lane Surgery, 11 Bacon Lane, Edgware, Middlesex",13444,"Edgware, Barnet, GB, HA8 5AT","(51.60508, -0.275864, 0.0)",51.60508,-0.275864,0.0
60,E84015,Willow Tree Family Doctors,NW9 9AD,"343B Stag Lane, London",6266,"London, Westminster, GB, NW9 9AD","(51.589365, -0.265054, 0.0)",51.589365,-0.265054,0.0
61,E84017,Sudbury & Alperton Medical Centre,HA0 1EZ,"267 Ealing Road, Wembley, Middlesex",11568,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
62,E84018,Streatfield Health Centre,HA3 9BP,"1 Streatfield Road, Kenton, Harrow, Middlesex",5530,"Harrow, Harrow, GB, HA3 9BP","(51.593814, -0.308097, 0.0)",51.593814,-0.308097,0.0
63,E84020,Jai Medical Centre (Brent),HA8 5LP,"82 Stag Lane, Edgware, Middlesex",7596,"Edgware, Barnet, GB, HA8 5LP","(51.59818, -0.270725, 0.0)",51.59818,-0.270725,0.0
64,E84021,The Willesden Medical Centre,NW10 2PT,"The Medical Centre, 144-150 High Road, Willesden, London",10338,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
65,E84022,Roxbourne Medical Centre,HA2 0UE,"Roxbourne Medical Centre, 37 Rayners Lane, South Harrow, Middlesex",5111,"Harrow, Harrow, GB, HA2 0UE","(51.567374, -0.363116, 0.0)",51.567374,-0.363116,0.0
66,E84024,The Pinn Medical Centre,HA5 3EE,"Pinn Medical Centre, 37 Love Lane, Pinner, Harrow, Middlesex",8999,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
67,E84025,The Lonsdale Medical Centre,NW6 6RR,"The Lonsdale Medical Ctr., 24 Lonsdale Road, London",12467,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
68,E84028,The Stonebridge Practice,NW10 8RY,"Hillside Primary Care Ctr, 150 Hilltop Avenue, Harlesden, London",4391,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
69,E84030,Preston Hill Surgery,NW10 8RY,"Hillside Primary Cc, 150 Hilltop Avenue, Harlesden, London",10848,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
70,E84031,Brentfield Medical Centre,NW10 8TF,"Brentfield Medical Centre, 10 Kingfisher Way, Brentfield Road, London",4955,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
71,E84032,Ellis Practice,HA9 9FX,"Chalkhill Pcc-Welford Ctr, 113 Chalkhill Road, Wembley, Middlesex",9189,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
72,E84033,Chalkhill Family Practice,HA9 9FX,"Chalkhill Pcc-Welford Ctr, 113 Chalkhill Road, Wembley, Middlesex",8731,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
73,E84036,Gladstone Medical Centre,NW2 6JH,"Gladstone Medical Centre, 5 Dollis Hill Lane, London",13787,"London, Westminster, GB, NW2 6JH","(51.558742, -0.246095, 0.0)",51.558742,-0.246095,0.0
74,E84039,Honeypot Medical Centre,HA7 1JP,"Honeypot Medical Centre, 404 Honeypot Lane, Stanmore, Middlesex",5017,"Stanmore, Harrow, GB, HA7 1JP","(51.596944, -0.29448, 0.0)",51.596944,-0.29448,0.0
75,E84040,The Pinner Road Surgery,HA1 4JS,"196 Pinner Road, West Harrow, Middlesex",14967,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
76,E84042,Kilburn Park Medical Centre,NW6 5AY,"Kilburn Park Medical Ctr., 12 Cambridge Gardens, Kilburn, London",9461,"London, Westminster, GB, NW6 5AY","(51.534453, -0.193305, 0.0)",51.534453,-0.193305,0.0
77,E84044,The Northwick Surgery,HA1 2NU,"The Northwick Surgery, 36 Northwick Park Road, Harrow, Middlesex",8325,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
78,E84048,The Fryent Way Surgery,NW9 9SB,"22 Fryent Way, Kingsbury, London",5300,"London, Westminster, GB, NW9 9SB","(51.582956, -0.280556, 0.0)",51.582956,-0.280556,0.0
79,E84049,Brampton Health Centre,NW9 9BY,"5 Brampton Road, Kingsbury, London",7906,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
80,E84051,Stanley Corner Medical Centre,HA0 4JF,"The Stanley Corner Med Ct, 1-3 Stanley Avenue, Wembley, Middlesex",5987,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
81,E84053,Hatch End Medical Centre,HA5 4RD,"Hatch End Health Centre, 577 Uxbridge Road, Hatch End,Pinner, Middlesex",12704,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
82,E84057,The Stanmore Medical Centre,HA7 1HS,"The Stanmore Medical Ctre, 85 Crowshott Avenue, Stanmore, Middlesex",7525,"Stanmore, Harrow, GB, HA7 1HS","(51.601542, -0.303983, 0.0)",51.601542,-0.303983,0.0
83,E84058,GP Direct,HA2 0RQ,"GP Direct, 3-7 Welbeck Road, Harrow, Middlesex",6307,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
84,E84059,The Allendale Road Surgery,UB6 0RA,"35 Allendale Road, Greenford, Middlesex",7154,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
85,E84061,Elliott Hall Medical Ctr.,HA5 4EA,"Elliott Hall Medical Ctr., 165/167 Uxbridge Road, Hatch End, Pinner,Middlesex",6255,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
86,E84062,The Shaftesbury Medical Centre,HA2 0AH,"The Shaftesbury Med Ctre, 39 Shaftesbury Parade, South Harrow, Middlesex",5081,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
87,E84063,Lancelot Medical Centre,HA0 2AL,"19 Lancelot Road, Wembley, Middlesex",10086,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
88,E84066,Hazeldene Medical Centre,HA9 6PW,"Hazeldene Medical Centre, 1B Wyld Way, Wembley, Middlesex",3885,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
89,E84067,Church Lane Surgery,NW9 8LU,"The Church Lane Surgery, 282 Church Lane, Kingsbury, London",8531,"London, Westminster, GB, NW9 8LU","(51.574933, -0.262097, 0.0)",51.574933,-0.262097,0.0
90,E84068,The Ridgeway Surgery,HA2 7DU,"The Ridgeway Surgery, 71 Imperial Drive, North Harrow, Middlesex",2279,"Harrow, Harrow, GB, HA2 7DU","(51.581016, -0.365079, 0.0)",51.581016,-0.365079,0.0
91,E84069,Belmont Health Centre,HA3 7LT,"Belmont Health Centre, 516 Kenton Lane, Kenton, Harrow, Middlesex",4622,"Harrow, Harrow, GB, HA3 7LT","(51.601124, -0.320575, 0.0)",51.601124,-0.320575,0.0
92,E84070,Pinner View Medical Centre,HA1 4QG,"Pinner View Medical Ctr., 33 Pinner View, Harrow, Middlesex",6794,"Harrow, Harrow, GB, HA1 4QG","(51.58588, -0.35021, 0.0)",51.58588,-0.35021,0.0
93,E84074,Freuchen Medical Centre,NW10 4ST,"Freuchen Medical Centre, 190 High Street, Harlesden, London",4040,"London, Westminster, GB, NW10 4ST","(51.534524, -0.242989, 0.0)",51.534524,-0.242989,0.0
94,E84075,Mollison Way Surgery,HA8 5QL,"45C-46 South Parade, Mollison Way, Edgware, Harrow, Middlesex",2265,"Edgware, Barnet, GB, HA8 5QL","(51.597656, -0.278528, 0.0)",51.597656,-0.278528,0.0
95,E84076,Oxgate Gardens Surgery,NW2 6EA,"81 Oxgate Gardens, London",4012,"London, Westminster, GB, NW2 6EA","(51.564483, -0.227752, 0.0)",51.564483,-0.227752,0.0
96,E84078,Kingsbury Health And Wellbeing,NW9 0EF,"245 Stag Lane, Kingsbury, London",2702,"London, Westminster, GB, NW9 0EF","(51.591771, -0.26541, 0.0)",51.591771,-0.26541,0.0
97,E84080,Staverton Surgery,NW2 5HA,"Staverton Medical Centre, 51 Staverton Road, London",26,"London, Westminster, GB, NW2 5HA","(51.544167, -0.22586, 0.0)",51.544167,-0.22586,0.0
98,E84083,Lanfranc Medical Centre,HA1 3QE,"Lanfranc Medical Centre, Lanfranc Court, Greenford Road,Harrow, Middlesex",11769,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
99,E84086,Walm Lane Surgery,NW2 4RT,"Walm Lane Surgery, 114 Walm Lane, Willesden Green, London",10436,"London, Westminster, GB, NW2 4RT","(51.550338, -0.219475, 0.0)",51.550338,-0.219475,0.0
100,E84601,Kenton Bridge Medical Centre Dr Golden,HA3 0YX,"The Kenton Bridge Med Ctr, 155-175 Kenton Road, Kenton, Harrow, Middlesex",12871,"Harrow, Harrow, GB, HA3 0YX","(51.582204, -0.316193, 0.0)",51.582204,-0.316193,0.0
101,E84617,The Civic Medical Centre,HA1 1SE,"The Civic Medical Centre, 18-20 Bethecar Road, Harrow, Middlesex",9425,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
102,E84620,Preston Road Surgery,HA9 8LB,"Preston Road Surgery, 56 Preston Road, Wembley, Middlesex",4591,"Wembley, Brent, GB, HA9 8LB","(51.564928, -0.292361, 0.0)",51.564928,-0.292361,0.0
103,E84626,The Sunflower Medical Centre,HA0 4UZ,"116 Chaplin Road, Wembley, Middlesex",10195,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
104,E84635,The Surgery,HA9 6QL,"The Surgery, 260-262 Harrow Road, Wembley, Middlesex",16070,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
105,E84637,Hilltop Medical Practice,NW10 8RY,"Hillside Primary Cc, 150 Hilltop Avenue, Harlesden, London",5144,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
106,E84638,Alperton Medical Centre,HA0 4JB,"Alperton Medical Centre, 32 Stanley Avenue, Wembley, Middlesex",5597,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
107,E84645,Park Royal Medical Practice,NW10 7NS,"Health & Well-Being Hub, Ctrl Mddx Hosp,Acton Lane, London",4128,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
108,E84646,The Streatfield Medical Centre,HA3 9BL,"The Medical Centre, 177 Streatfield Road, Harrow, Middlesex",10810,"Harrow, Harrow, GB, HA3 9BL","(51.595343, -0.300662, 0.0)",51.595343,-0.300662,0.0
109,E84647,Kenton Clinic,HA3 0UQ,"Kenton Clinic, 533A Kenton Road, Kenton, Harrow, Middlesex",3231,"Harrow, Harrow, GB, HA3 0UQ","(51.586105, -0.292404, 0.0)",51.586105,-0.292404,0.0
110,E84653,Zain Medical Centre,HA8 0AD,"Edgware Community Hosp, Burnt Oak Broadway, Edgware, Middlesex",7534,"Edgware, Barnet, GB, HA8 0AD","(51.605822, -0.271851, 0.0)",51.605822,-0.271851,0.0
111,E84656,Roundwood Park Medical Centre,NW10 3RY,"Willesden Ctr Hlth & Care, Robson Avenue, London",5173,"London, Westminster, GB, NW10 3RY","(51.542863, -0.2354, 0.0)",51.542863,-0.2354,0.0
112,E84658,Aspri Medical Centre,HA3 5LE,"Aspri Medical Centre, 1 Long Elmes, Harrow Weald, Middlesex",11206,"Harrow, Harrow, GB, HA3 5LE","(51.604473, -0.342979, 0.0)",51.604473,-0.342979,0.0
113,E84663,Kenton Bridge Medical Centre - Dr Raja,HA3 0YX,"The Kenton Bridge Med Ctr, 155-175 Kenton Road, Kenton, Middlesex",5476,"Harrow, Harrow, GB, HA3 0YX","(51.582204, -0.316193, 0.0)",51.582204,-0.316193,0.0
114,E84665,Neasden Medical Centre,NW2 7SA,"Neasden Medical Centre, 21 Tanfield Avenue, Neasden, London",4883,"London, Westminster, GB, NW2 7SA","(51.559679, -0.247372, 0.0)",51.559679,-0.247372,0.0
115,E84674,Chichele Road Surgery,NW2 3AN,"25 Chichele Road, Cricklewood, London",2597,"London, Westminster, GB, NW2 3AN","(51.554777, -0.216258, 0.0)",51.554777,-0.216258,0.0
116,E84676,Headstone Lane Medical Centre,HA2 6LY,"The Surgery, 238 Headstone Lane, North Harrow, Middlesex",2329,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
117,E84678,Preston Medical Centre,HA9 8JZ,"Preston Medical Centre, 23 Preston Road, Wembley Park, Middlesex",18980,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
118,E84680,Headstone Road Surgery,HA1 1PG,"Headstone Road Surgery, 107 Headstone Road, Harrow, Middlesex",9671,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
119,E84681,Savita Medical Centre,HA1 1RQ,"48 Harrow View, Harrow, Middlesex",7755,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
120,E84684,The Tudor House Medical Centre,HA9 9DS,"The Tudor House Med Ctre, 1 Chalkhill Road, Wembley Park, Middlesex",4398,"Wembley, Brent, GB, HA9 9DS","(51.564506, -0.266679, 0.0)",51.564506,-0.266679,0.0
121,E84685,Sudbury Surgery,HA0 3HG,"Sudbury Primary Care Ctr, Vale Farm, Watford Road, Wembley, Middlesex",12097,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
122,E84693,St. Peter'S Medical Centre,HA1 4BS,"St. Peter'S Medical Ctr., Colbeck Road, West Harrow, Middlesex",11721,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
123,E84699,Kings Edge Medical Centre,NW9 0QP,"Kings Edge Medical Centre, 132 Stag Lane, Kingsbury, London",5904,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
124,E84701,Pearl Medical Practice,HA0 4UZ,"116 Chaplin Road, Wembley, Middlesex",9263,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
125,E84702,Willesden Green Surgery,NW2 3UY,"Willesden Green Surgery, 59 Anson Road, London",11475,"London, Westminster, GB, NW2 3UY","(51.553776, -0.216066, 0.0)",51.553776,-0.216066,0.0
126,E84704,St. Georges Medical Centre,NW2 6JH,"St.Georges Medical Centre, Park Hill House, 9 Dollis Hill Lane, London",7569,"London, Westminster, GB, NW2 6JH","(51.558742, -0.246095, 0.0)",51.558742,-0.246095,0.0
127,E84709,Wembley Park Drive Medical Centre,HA9 8HD,"21 Wembley Park Drive, Wembley, Middlesex",14647,"Wembley, Brent, GB, HA9 8HD","(51.560559, -0.290014, 0.0)",51.560559,-0.290014,0.0
128,E84713,The Enterprise Practice,HA3 7LT,"Belmont Health Centre, 516 Kenton Lane, Kenton, Middlesex",12369,"Harrow, Harrow, GB, HA3 7LT","(51.601124, -0.320575, 0.0)",51.601124,-0.320575,0.0
129,E85001,Thornbury Road Centre For Health,TW7 4HQ,"Thornbury Rd Ctr For Hlth, Thornbury Road, Isleworth, Middlesex",13505,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
130,E85003,North End Medical Centre,W14 9PR,"North End Medical Centre, 160 North End Road, West Kensington, London",5128,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
131,E85004,Albany Practice,TW8 8DS,"The Albany Practice, Brentford Health Centre, Boston Manor Road, Brentford, Middlesex",8113,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
